id,sample,comment,type,sT,sP,expdataset,weight,phase.Gibbsite-H.DC.Gibbsite-H.UMC,comp.AlO(OH),unit,comp.H2O,unit,comp.NaCl,unit,comp.HCl,unit,comp.NaOH,unit,phase.aq_gen.pH,phase.aq_gen.IC.Al.Q,unit
39,Ben_039,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00175821,g,,,4.398,7.37904E-08,molal
40,Ben_040,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00148861,g,,,4.478,8.72971E-08,molal
41,Ben_041,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000963672,g,,,4.655,6.30957E-08,molal
42,Ben_042,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000751562,g,,,4.769,7.8343E-08,molal
43,Ben_043,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000564116,g,,,4.891,5.54626E-08,molal
44,Ben_044,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000375009,g,,,5.059,6.28058E-08,molal
45,Ben_045,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000375009,g,,,5.061,8.531E-08,molal
46,Ben_046,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00031178,g,,,5.147,8.51138E-08,molal
47,Ben_047,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.000239107,g,,,5.254,1.04713E-07,molal
48,Ben_048,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.00011128,g,,,5.562,7.2277E-08,molal
49,Ben_049,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,9.70E-05,g,,,5.6,9.93116E-08,molal
50,Ben_050,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,6.07E-05,g,,,5.753,1.05439E-07,molal
51,Ben_051,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,3.58E-05,g,,,5.88,1.30617E-07,molal
52,Ben_052,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,2.08E-05,g,,,5.959,1.55597E-07,molal
53,Ben_053,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,2.26E-05,g,6.198,2.46037E-07,molal
54,Ben_054,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,7.31E-05,g,6.427,3.96278E-07,molal
55,Ben_055,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000144475,g,6.663,4.72063E-07,molal
56,Ben_056,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000239187,g,6.856,1.1272E-06,molal
57,Ben_057,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000262627,g,6.907,7.06318E-07,molal
58,Ben_058,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000524515,g,7.195,2.88403E-06,molal
59,Ben_059,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000564116,g,7.227,2.49459E-06,molal
60,Ben_060,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.000777446,g,7.357,3.14775E-06,molal
61,Ben_061,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00379429,g,8.044,1.97697E-05,molal
62,Ben_062,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00379429,g,8.058,2.04644E-05,molal
63,Ben_063,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00812156,g,8.384,4.64515E-05,molal
64,Ben_064,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.00812156,g,8.385,4.75335E-05,molal
65,Ben_065,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0129961,g,8.583,7.72681E-05,molal
66,Ben_066,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0276299,g,8.913,0.000186638,molal
67,Ben_067,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0287797,g,8.927,0.000187932,molal
68,Ben_068,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0362487,g,9.035,0.000212324,molal
69,Ben_069,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0501695,g,9.165,0.000405509,molal
70,Ben_070,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0531625,g,9.191,0.000367282,molal
71,Ben_071,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0629381,g,9.265,0.000374973,molal
72,Ben_072,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0629381,g,9.27,0.000347536,molal
73,Ben_073,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0786983,g,9.372,0.000488652,molal
74,Ben_074,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0963583,g,9.447,0.000509331,molal
75,Ben_075,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0963583,g,9.447,0.000512861,molal
76,Ben_076,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0963583,g,9.448,0.000510505,molal
77,Ben_077,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.0993637,g,9.474,0.000796159,molal
78,Ben_078,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.150459,g,9.639,0.001238797,molal
79,Ben_079,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.166235,g,9.681,0.001241652,molal
80,Ben_080,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.204565,g,9.778,0.001035142,molal
81,Ben_081,,Bhm_tit,101,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,,,0.204565,g,9.779,0.00103992,molal
82,Ben_082,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.355406,,,,2.137,7.60326E-05,molal
83,Ben_083,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.283261,,,,2.236,4.18794E-05,molal
84,Ben_084,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.283261,,,,2.237,4.27563E-05,molal
85,Ben_085,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.283261,,,,2.237,4.50817E-05,molal
86,Ben_086,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.145498,,,,2.514,1.01859E-05,molal
87,Ben_087,,Bhm_tit,152,0,Bhm_Benezeth_etal2001,1,0,25,g,1000,g,1.75,g,0.0904197,,,,2.708,2.29615E-06,molal
