id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
13,5a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.14375E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.75,1.21E-07,molal,,4.20,,log(L/kg)
14,5b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.1115E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.75,5.15E-08,molal,,4.28,,log(L/kg)
15,5c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.08225E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.75,2.79E-08,molal,,4.37,,log(L/kg)
16,6a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,7.5375E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.72,2.69E-08,molal,,4.70,,log(L/kg)
17,6b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,7.315E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.72,2.59E-08,molal,,4.40,,log(L/kg)
18,6c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,7.1225E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.75,1.39E-08,molal,,4.49,,log(L/kg)
19,7a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,4.6125E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.72,3.77E-08,molal,,4.32,,log(L/kg)
20,7b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,4.465E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.72,1.46E-08,molal,,4.44,,log(L/kg)
21,7c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,4.3475E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.73,7.16E-09,molal,,4.57,,log(L/kg)
22,8a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,2.6625E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.73,1.61E-08,molal,,4.46,,log(L/kg)
23,8b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,2.565E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.74,5.22E-09,molal,,4.65,,log(L/kg)
24,8c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,2.4975E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.74,3.20E-09,molal,,4.68,,log(L/kg)
25,9a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.6875E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.74,6.79E-09,molal,,4.65,,log(L/kg)
26,9b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.615E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.74,2.83E-09,molal,,4.72,,log(L/kg)
27,9c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.5725E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.75,1.45E-09,molal,,4.82,,log(L/kg)
28,10a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,8.45E-08,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.74,2.43E-09,molal,,4.80,,log(L/kg)
29,10b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,8.075E-08,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.74,8.41E-10,molal,,4.95,,log(L/kg)
30,10c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,7.875E-08,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.74,5.59E-10,molal,,4.94,,log(L/kg)
