id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
1,1a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.96688E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,6.00,9.97E-06,molal,,3.26,,log(L/kg)
2,1b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.91615E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,6.00,5.64E-06,molal,,3.35,,log(L/kg)
3,1c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,1.86573E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,6.00,2.81E-06,molal,,3.54,,log(L/kg)
4,2a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,9.91875E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.96,3.51E-06,molal,,3.53,,log(L/kg)
5,2b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,9.6615E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.94,9.73E-07,molal,,3.92,,log(L/kg)
6,2c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,9.40725E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.93,2.28E-07,molal,,4.40,,log(L/kg)
7,3a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,6.01875E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.82,1.35E-06,molal,,3.81,,log(L/kg)
8,3b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,5.8615E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.82,2.03E-07,molal,,4.41,,log(L/kg)
9,3c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,5.70725E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.80,3.53E-08,molal,,5.00,,log(L/kg)
10,4a,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,3.09375E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000120938,mol,1.08E-06,mol,2.15E-05,mol,2.15E-05,mol,0.000120938,mol,5.75,3.78E-07,molal,,4.13,,log(L/kg)
11,4b,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,3.0115E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000241875,mol,2.15E-06,mol,4.30E-05,mol,4.30E-05,mol,0.000241875,mol,5.75,7.14E-08,molal,,4.58,,log(L/kg)
12,4c,U iso in 0.1 M NaClO4 pH 5.8,DS-iso-01-01M-pH5.8,25,1,987.756,g,2.93225E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00036225,mol,3.22E-06,mol,6.44E-05,mol,6.44E-05,mol,0.00036225,mol,5.76,3.64E-08,molal,,4.69,,log(L/kg)
