id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
11,6a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,9.27697E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,3.68E-06,molal,,2.92,,log(L/kg)
12,6b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,9.27697E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,3.71E-06,molal,,2.91,,log(L/kg)
13,7a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,5.64061E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,2.20E-06,molal,,2.93,,log(L/kg)
14,7b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,5.64061E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,2.29E-06,molal,,2.90,,log(L/kg)
15,8a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,2.91333E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,9.82E-07,molal,,3.03,,log(L/kg)
16,8b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,2.91333E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,1.01E-06,molal,,3.01,,log(L/kg)
17,9a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,1.09515E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,3.02E-07,molal,,3.15,,log(L/kg)
18,9b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,1.09515E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,2.95E-07,molal,,3.17,,log(L/kg)
19,10a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,4.58788E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,6.70E-08,molal,,3.50,,log(L/kg)
20,10b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,4.58788E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,6.90E-08,molal,,3.49,,log(L/kg)
21,11a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,2.7697E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,4.66E-08,molal,,3.43,,log(L/kg)
22,11b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,2.7697E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,4.78E-08,molal,,3.42,,log(L/kg)
23,12a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,1.86061E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,2.18E-08,molal,,3.61,,log(L/kg)
24,12b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,1.86061E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,2.23E-08,molal,,3.60,,log(L/kg)
