id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
1,1a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,0.000272913,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,2.19E-04,molal,,2.13,,log(L/kg)
2,1b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,0.000272913,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,2.20E-04,molal,,2.12,,log(L/kg)
3,2a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,9.10952E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,6.26E-05,molal,,2.39,,log(L/kg)
4,2b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,9.10952E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,6.25E-05,molal,,2.40,,log(L/kg)
5,3a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,5.47315E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,3.62E-05,molal,,2.44,,log(L/kg)
6,3b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,5.47315E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,3.64E-05,molal,,2.44,,log(L/kg)
7,4a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,2.74588E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,1.52E-05,molal,,2.64,,log(L/kg)
8,4b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,2.74588E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,1.55E-05,molal,,2.62,,log(L/kg)
9,5a,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,1.83679E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,8.86E-06,molal,,2.77,,log(L/kg)
10,5b,Uranyl isotherm in 0.1 M NaClO4 pH 4.9 ,DS-iso-07-01M-pH4.9,25,1,987.756,g,1.83679E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000414545,mol,3.68E-06,mol,7.37E-05,mol,7.37E-05,mol,0.000414545,mol,4.90,8.75E-06,molal,,2.78,,log(L/kg)
