id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
1,1a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,0.000258797,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,1.56E-04,molal,,2.31,,log(L/kg)
2,3a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,6.50041E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,3.65E-06,molal,,3.72,,log(L/kg)
3,5a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,3.25214E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,1.17E-07,molal,,4.94,,log(L/kg)
4,9a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,1.08345E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,4.00E-08,molal,,3.91,,log(L/kg)
5,12a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,1.76552E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,3.82E-09,molal,,4.15,,log(L/kg)
6,1b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,0.000258797,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,1.31E-04,molal,,2.48,,log(L/kg)
7,3b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,6.50041E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,1.59E-07,molal,,5.11,,log(L/kg)
8,5b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,3.25214E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,7.03E-08,molal,,5.16,,log(L/kg)
9,9b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,1.08345E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,3.06E-08,molal,,4.03,,log(L/kg)
10,12b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-04-01M-pH5.3,25,1,987.756,g,1.76552E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.00072,mol,6.40E-06,mol,1.28E-04,mol,1.28E-04,mol,0.00072,mol,5.30,2.82E-09,molal,,4.28,,log(L/kg)
