id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
1,2a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,0.000103338,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000102353,mol,9.10E-07,mol,1.82E-05,mol,1.82E-05,mol,0.000102353,mol,5.30,6.70E-05,molal,,3.08,,log(L/kg)
2,2b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,0.000101351,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000200769,mol,1.78E-06,mol,3.57E-05,mol,3.57E-05,mol,0.000200769,mol,5.30,3.49E-05,molal,,3.33,,log(L/kg)
3,4a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,5.90243E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000102353,mol,9.10E-07,mol,1.82E-05,mol,1.82E-05,mol,0.000102353,mol,5.30,3.33E-05,molal,,3.23,,log(L/kg)
4,4b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,5.78892E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000200769,mol,1.78E-06,mol,3.57E-05,mol,3.57E-05,mol,0.000200769,mol,5.30,1.26E-05,molal,,3.61,,log(L/kg)
5,6a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,1.78478E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000102353,mol,9.10E-07,mol,1.82E-05,mol,1.82E-05,mol,0.000102353,mol,5.30,3.49E-07,molal,,5.04,,log(L/kg)
6,6b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,1.75046E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000200769,mol,1.78E-06,mol,3.57E-05,mol,3.57E-05,mol,0.000200769,mol,5.30,1.32E-07,molal,,5.17,,log(L/kg)
7,7a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,1.05145E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000102353,mol,9.10E-07,mol,1.82E-05,mol,1.82E-05,mol,0.000102353,mol,5.30,1.73E-07,molal,,5.12,,log(L/kg)
8,7b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,1.03123E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000200769,mol,1.78E-06,mol,3.57E-05,mol,3.57E-05,mol,0.000200769,mol,5.30,9.96E-08,molal,,5.06,,log(L/kg)
9,8a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,3.14196E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000102353,mol,9.10E-07,mol,1.82E-05,mol,1.82E-05,mol,0.000102353,mol,5.30,1.14E-07,molal,,4.77,,log(L/kg)
10,8b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,3.08154E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000200769,mol,1.78E-06,mol,3.57E-05,mol,3.57E-05,mol,0.000200769,mol,5.30,9.80E-08,molal,,4.53,,log(L/kg)
11,10a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,4.94902E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000102353,mol,9.10E-07,mol,1.82E-05,mol,1.82E-05,mol,0.000102353,mol,5.30,1.75E-07,molal,,3.60,,log(L/kg)
12,10b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,4.85385E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000200769,mol,1.78E-06,mol,3.57E-05,mol,3.57E-05,mol,0.000200769,mol,5.30,7.15E-08,molal,,3.81,,log(L/kg)
13,11a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,3.03922E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000102353,mol,9.10E-07,mol,1.82E-05,mol,1.82E-05,mol,0.000102353,mol,5.30,1.22E-07,molal,,3.52,,log(L/kg)
14,11b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,DS-iso-05-01M-pH5.3,25,1,987.756,g,2.98077E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000200769,mol,1.78E-06,mol,3.57E-05,mol,3.57E-05,mol,0.000200769,mol,5.30,4.81E-08,molal,,3.77,,log(L/kg)
