id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
11,6a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,0.000015604,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.27,2.93E-08,molal,,5.20,,log(L/kg)
12,6b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,0.000015604,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.26,2.68E-08,molal,,5.24,,log(L/kg)
13,7a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,9.17543E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.25,2.99E-08,molal,,4.96,,log(L/kg)
14,7b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,9.17543E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.20,3.06E-08,molal,,4.95,,log(L/kg)
15,8a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,2.74686E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.23,8.34E-08,molal,,3.98,,log(L/kg)
16,8b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,2.74686E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.27,8.41E-08,molal,,3.98,,log(L/kg)
17,9a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,1.07543E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.26,1.95E-08,molal,,4.21,,log(L/kg)
18,9b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,1.07543E-06,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.28,2.01E-08,molal,,4.20,,log(L/kg)
19,10a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,4.32571E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.42,4.56E-09,molal,,4.45,,log(L/kg)
20,10b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,4.32571E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.43,4.41E-09,molal,,4.47,,log(L/kg)
21,11a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,2.65429E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.31,2.85E-09,molal,,4.44,,log(L/kg)
22,11b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,2.65429E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.30,2.90E-09,molal,,4.44,,log(L/kg)
23,12a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,1.75429E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.31,1.70E-09,molal,,4.49,,log(L/kg)
24,12b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,1.75429E-07,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.33,1.65E-09,molal,,4.50,,log(L/kg)
