id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
1,1a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,0.000257318,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.10,8.88E-05,molal,,2.76,,log(L/kg)
2,1b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,0.000257318,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.09,9.52E-05,molal,,2.71,,log(L/kg)
3,2a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,9.01754E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.41,5.17E-07,molal,,4.72,,log(L/kg)
4,2b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,9.01754E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.42,5.15E-07,molal,,4.72,,log(L/kg)
5,3a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,6.44611E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.33,8.96E-08,molal,,5.34,,log(L/kg)
6,3b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,6.44611E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.28,1.04E-07,molal,,5.27,,log(L/kg)
7,4a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,0.000051604,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.26,7.36E-08,molal,,5.32,,log(L/kg)
8,4b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,0.000051604,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.28,9.50E-08,molal,,5.21,,log(L/kg)
9,5a,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,3.23183E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.26,6.97E-08,molal,,5.14,,log(L/kg)
10,5b,Uranyl isotherm in 0.1 M NaClO4 pH 5.3,U-DS-03-01M-pH5.3,25,1,987.756,g,3.23183E-05,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000745714,mol,6.63E-06,mol,1.33E-04,mol,1.33E-04,mol,0.000745714,mol,5.26,5.08E-08,molal,,5.28,,log(L/kg)
