id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
1,1A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000053,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000288243,mol,2.56E-06,mol,5.12E-05,mol,5.12E-05,mol,0.000288243,mol,7.29,7.15E-09,molal,,4.76,,log(L/kg)
2,1B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000053,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000288243,mol,2.56E-06,mol,5.12E-05,mol,5.12E-05,mol,0.000288243,mol,7.25,1.03E-08,molal,,4.60,,log(L/kg)
3,2A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.000000692,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000287777,mol,2.56E-06,mol,5.12E-05,mol,5.12E-05,mol,0.000287777,mol,7.26,1.37E-08,molal,,4.59,,log(L/kg)
4,2B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.000000692,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000287777,mol,2.56E-06,mol,5.12E-05,mol,5.12E-05,mol,0.000287777,mol,7.25,1.13E-08,molal,,4.67,,log(L/kg)
5,3A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.000001068,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000286694,mol,2.55E-06,mol,5.10E-05,mol,5.10E-05,mol,0.000286694,mol,7.24,2.83E-08,molal,,4.46,,log(L/kg)
6,3B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.000001068,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000286694,mol,2.55E-06,mol,5.10E-05,mol,5.10E-05,mol,0.000286694,mol,7.27,2.83E-08,molal,,4.46,,log(L/kg)
7,4A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000319,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000283644,mol,2.52E-06,mol,5.04E-05,mol,5.04E-05,mol,0.000283644,mol,7.25,8.65E-08,molal,,4.45,,log(L/kg)
8,4B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000319,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000283644,mol,2.52E-06,mol,5.04E-05,mol,5.04E-05,mol,0.000283644,mol,7.24,9.39E-08,molal,,4.42,,log(L/kg)
9,5A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000316,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000280658,mol,2.49E-06,mol,4.99E-05,mol,4.99E-05,mol,0.000280658,mol,7.23,9.13E-08,molal,,4.43,,log(L/kg)
10,5B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000316,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000280658,mol,2.49E-06,mol,4.99E-05,mol,4.99E-05,mol,0.000280658,mol,7.23,1.24E-07,molal,,4.29,,log(L/kg)
