id,sample,comment,expdataset,sT,sP,comp.H2O,unit,comp.UO2(OH)2,unit,comp.NaClO4,unit,comp.HClO4,unit,comp.NaOH,unit,comp.Clai,unit,comp.Essi,unit,comp.Esvi,unit,comp.Eswi,unit,comp.Na,unit,phase.aq_gen.pH,phase.aq_gen.IC.U,unit,error,phase.IlliteX.Rd,error,unit
11,6A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000566,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000273462,mol,2.43E-06,mol,4.86E-05,mol,4.86E-05,mol,0.000273462,mol,7.21,1.22E-07,molal,,4.57,,log(L/kg)
12,6B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000566,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000273462,mol,2.43E-06,mol,4.86E-05,mol,4.86E-05,mol,0.000273462,mol,7.20,2.21E-07,molal,,4.31,,log(L/kg)
13,7A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000593,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000288088,mol,2.56E-06,mol,5.12E-05,mol,5.12E-05,mol,0.000288088,mol,7.25,1.97E-07,molal,,4.36,,log(L/kg)
14,7B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00000593,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000288088,mol,2.56E-06,mol,5.12E-05,mol,5.12E-05,mol,0.000288088,mol,7.23,2.19E-07,molal,,4.31,,log(L/kg)
15,8A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00001673,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000287777,mol,2.56E-06,mol,5.12E-05,mol,5.12E-05,mol,0.000287777,mol,7.21,5.01E-07,molal,,4.40,,log(L/kg)
16,8B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00001673,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000287777,mol,2.56E-06,mol,5.12E-05,mol,5.12E-05,mol,0.000287777,mol,7.21,6.58E-07,molal,,4.28,,log(L/kg)
17,9A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00005433,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000286694,mol,2.55E-06,mol,5.10E-05,mol,5.10E-05,mol,0.000286694,mol,7.13,4.81E-06,molal,,3.91,,log(L/kg)
18,9B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00005433,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000286694,mol,2.55E-06,mol,5.10E-05,mol,5.10E-05,mol,0.000286694,mol,7.16,4.36E-06,molal,,3.95,,log(L/kg)
19,10A,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00015953,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000283644,mol,2.52E-06,mol,5.04E-05,mol,5.04E-05,mol,0.000283644,mol,6.96,3.74E-05,molal,,3.41,,log(L/kg)
20,10B,Uranyl isotherm in 0.1 M NaClO4 pH 7.2,DS-iso-09-01M-pH7.2,25,1,987.756,g,0.00015953,mol,0.1,mol,1.00E-09,mol,0.000000001,mol,0.000283644,mol,2.52E-06,mol,5.04E-05,mol,5.04E-05,mol,0.000283644,mol,6.98,3.61E-05,molal,,3.43,,log(L/kg)
