id,sample,comment,type,sT,sP,expdataset,comp.SiO2,error,unit,comp.H2O,unit,comp.Ca(OH)2,unit,phase.aq_gen.pH,error,unit,phase.aq_gen.Si,error,unit,phase.aq_gen.Ca,error,unit,phase.CSH.pQnt,unit,phase.CSH.Si,unit,phase.CSH.Ca,error,unit
38,CH04D,,,22,1,CH04D,10,,g,1000,g,17.26,g,,,,0.08,,molal,3.13,,molal,1.40,mol,1,mol,1.40,0.05,mol
39,CH04D,,,22,1,qCH04D,10,,g,1000,g,12.70,g,11.46,0.03,-loga,0.10,,molal,2.70,,molal,1.03,mol,1,mol,1.03,0.05,mol
40,CH04D,,,22,1,CH04D,10,,g,1000,g,12.95,g,11.56,0.03,-loga,0.14,,molal,2.03,,molal,1.05,mol,1,mol,1.05,0.05,mol
41,CH04D,,,22,1,CH04D,10,,g,1000,g,11.34,g,11.16,0.03,-loga,0.42,,molal,1.66,,molal,0.92,mol,1,mol,0.92,0.05,mol
42,CH04D,,,22,1,CH04D,10,,g,1000,g,12.70,g,,,,0.22,,molal,1.41,,molal,1.03,mol,1,mol,1.03,0.05,mol
43,CH04D,,,22,1,CH04D,10,,g,1000,g,17.26,g,,,,0.54,,molal,0.86,,molal,1.40,mol,1,mol,1.40,0.05,mol
44,CH04D,,,22,1,CH04D,10,,g,1000,g,17.88,g,,,,0.02,,molal,15.36,,molal,1.45,mol,1,mol,1.45,0.05,mol
45,CH04D,,,22,1,CH04D,10,,g,1000,g,15.54,g,,,,0.04,,molal,6.25,,molal,1.26,mol,1,mol,1.26,0.05,mol
46,CH04D,,,22,1,CH04D,10,,g,1000,g,16.65,g,12.33,0.03,-loga,0.02,,molal,13.85,,molal,1.35,mol,1,mol,1.35,0.05,mol
47,CH04D,,,22,1,CH04D,10,,g,1000,g,15.78,g,12.07,0.03,-loga,0.03,,molal,7.37,,molal,1.28,mol,1,mol,1.28,0.05,mol
48,CH04D,,,22,1,CH04D,10,,g,1000,g,15.54,g,12.03,0.03,-loga,0.04,,molal,6.09,,molal,1.26,mol,1,mol,1.26,0.05,mol
