ptype,parameter,name,init.value,fittted.value,mc.mean,mc.stdev,confi99,confi95,confi90,CSS.sensitivity,correl.coef.Al(OH)2+,correl.coef.Al(OH)3@,correl.coef.Al(OH)4-,correl.coef.Al+3,
F,G0,Al(OH)2+,-899506,-901087.076997,,,,,,123.872857537,1,-0.6737,0.1433,-0.4004,
F,G0,Al(OH)3@,-1101740,-1109110.13832,,,,,,156.550568109,-0.6737,1,-0.2609,0.2178,
F,G0,Al(OH)4-,-1305810,-1307032.73538,,,,,,673.28803363,0.1433,-0.2609,1,-0.04634,
F,G0,Al+3,-487478,-485403.487368,,,,,,217.239173009,-0.4004,0.2178,-0.04634,1,
R,G0,AlOH+2,-696322,-694350.632634,,,,,,0,0,0,0,0,
