id,sample,expdataset,sT,sP,comp.H2,unit,comp.H2O,unit,comp.NaCl,unit,phase.Pitzer_NaCl.RHO,unit,error
63,Ar063,Archer_syn,150,700,0.00001,molal,1000,g,0.1,molal,0.955845,g/cm3,
64,Ar064,Archer_syn,150,800,0.00001,molal,1000,g,0.1,molal,0.960226,g/cm3,
65,Ar065,Archer_syn,150,900,0.00001,molal,1000,g,0.1,molal,0.96449,g/cm3,
66,Ar066,Archer_syn,150,1000,0.00001,molal,1000,g,0.1,molal,0.968646,g/cm3,
67,Ar067,Archer_syn,175,50,0.00001,molal,1000,g,0.1,molal,0.899427,g/cm3,
68,Ar068,Archer_syn,175,100,0.00001,molal,1000,g,0.1,molal,0.902527,g/cm3,
69,Ar069,Archer_syn,175,200,0.00001,molal,1000,g,0.1,molal,0.908513,g/cm3,
70,Ar070,Archer_syn,175,300,0.00001,molal,1000,g,0.1,molal,0.914239,g/cm3,
71,Ar071,Archer_syn,175,400,0.00001,molal,1000,g,0.1,molal,0.919734,g/cm3,
72,Ar072,Archer_syn,175,500,0.00001,molal,1000,g,0.1,molal,0.92502,g/cm3,
73,Ar073,Archer_syn,175,600,0.00001,molal,1000,g,0.1,molal,0.930118,g/cm3,
74,Ar074,Archer_syn,175,700,0.00001,molal,1000,g,0.1,molal,0.935045,g/cm3,
75,Ar075,Archer_syn,25,50,0.00001,molal,1000,g,0.5,molal,1.01921,g/cm3,
76,Ar076,Archer_syn,25,100,0.00001,molal,1000,g,0.5,molal,1.02135,g/cm3,
77,Ar077,Archer_syn,25,200,0.00001,molal,1000,g,0.5,molal,1.02557,g/cm3,
78,Ar078,Archer_syn,25,300,0.00001,molal,1000,g,0.5,molal,1.0297,g/cm3,
79,Ar079,Archer_syn,25,400,0.00001,molal,1000,g,0.5,molal,1.03376,g/cm3,
80,Ar080,Archer_syn,25,500,0.00001,molal,1000,g,0.5,molal,1.03773,g/cm3,
81,Ar081,Archer_syn,25,600,0.00001,molal,1000,g,0.5,molal,1.04164,g/cm3,
82,Ar082,Archer_syn,25,700,0.00001,molal,1000,g,0.5,molal,1.04547,g/cm3,
83,Ar083,Archer_syn,25,800,0.00001,molal,1000,g,0.5,molal,1.04923,g/cm3,
84,Ar084,Archer_syn,25,900,0.00001,molal,1000,g,0.5,molal,1.05293,g/cm3,
85,Ar085,Archer_syn,25,1000,0.00001,molal,1000,g,0.5,molal,1.05657,g/cm3,
86,Ar086,Archer_syn,50,50,0.00001,molal,1000,g,0.5,molal,1.00942,g/cm3,
87,Ar087,Archer_syn,50,100,0.00001,molal,1000,g,0.5,molal,1.0115,g/cm3,
88,Ar088,Archer_syn,50,200,0.00001,molal,1000,g,0.5,molal,1.0156,g/cm3,
89,Ar089,Archer_syn,50,300,0.00001,molal,1000,g,0.5,molal,1.01962,g/cm3,
90,Ar090,Archer_syn,50,400,0.00001,molal,1000,g,0.5,molal,1.02356,g/cm3,
91,Ar091,Archer_syn,50,500,0.00001,molal,1000,g,0.5,molal,1.02741,g/cm3,
92,Ar092,Archer_syn,50,600,0.00001,molal,1000,g,0.5,molal,1.0312,g/cm3,
93,Ar093,Archer_syn,50,700,0.00001,molal,1000,g,0.5,molal,1.03492,g/cm3,
94,Ar094,Archer_syn,50,800,0.00001,molal,1000,g,0.5,molal,1.03857,g/cm3,
95,Ar095,Archer_syn,50,900,0.00001,molal,1000,g,0.5,molal,1.04216,g/cm3,
96,Ar096,Archer_syn,50,1000,0.00001,molal,1000,g,0.5,molal,1.04568,g/cm3,
97,Ar097,Archer_syn,75,50,0.00001,molal,1000,g,0.5,molal,0.996078,g/cm3,
98,Ar098,Archer_syn,75,100,0.00001,molal,1000,g,0.5,molal,0.9982,g/cm3,
99,Ar099,Archer_syn,75,200,0.00001,molal,1000,g,0.5,molal,1.00237,g/cm3,
100,Ar100,Archer_syn,75,300,0.00001,molal,1000,g,0.5,molal,1.00644,g/cm3,
101,Ar101,Archer_syn,75,400,0.00001,molal,1000,g,0.5,molal,1.01043,g/cm3,
102,Ar102,Archer_syn,75,500,0.00001,molal,1000,g,0.5,molal,1.01432,g/cm3,
103,Ar103,Archer_syn,75,600,0.00001,molal,1000,g,0.5,molal,1.01814,g/cm3,
