id,sample,expdataset,sT,sP,comp.H2,unit,comp.H2O,unit,comp.NaCl,unit,phase.Pitzer_NaCl.RHO,unit,error
277,Ar277,Archer_syn,125,1000,0.00001,molal,1000,g,5,molal,1.14098,g/cm3,
278,Ar278,Archer_syn,150,50,0.00001,molal,1000,g,5,molal,1.08827,g/cm3,
279,Ar279,Archer_syn,150,100,0.00001,molal,1000,g,5,molal,1.09037,g/cm3,
280,Ar280,Archer_syn,150,200,0.00001,molal,1000,g,5,molal,1.09451,g/cm3,
281,Ar281,Archer_syn,150,300,0.00001,molal,1000,g,5,molal,1.09856,g/cm3,
282,Ar282,Archer_syn,150,400,0.00001,molal,1000,g,5,molal,1.10253,g/cm3,
283,Ar283,Archer_syn,150,500,0.00001,molal,1000,g,5,molal,1.10643,g/cm3,
284,Ar284,Archer_syn,150,600,0.00001,molal,1000,g,5,molal,1.11026,g/cm3,
285,Ar285,Archer_syn,150,700,0.00001,molal,1000,g,5,molal,1.11402,g/cm3,
286,Ar286,Archer_syn,150,800,0.00001,molal,1000,g,5,molal,1.11772,g/cm3,
287,Ar287,Archer_syn,150,900,0.00001,molal,1000,g,5,molal,1.12135,g/cm3,
288,Ar288,Archer_syn,150,1000,0.00001,molal,1000,g,5,molal,1.12492,g/cm3,
289,Ar289,Archer_syn,175,50,0.00001,molal,1000,g,5,molal,1.06851,g/cm3,
290,Ar290,Archer_syn,175,100,0.00001,molal,1000,g,5,molal,1.07078,g/cm3,
291,Ar291,Archer_syn,175,200,0.00001,molal,1000,g,5,molal,1.07525,g/cm3,
292,Ar292,Archer_syn,175,300,0.00001,molal,1000,g,5,molal,1.07963,g/cm3,
293,Ar293,Archer_syn,175,400,0.00001,molal,1000,g,5,molal,1.08392,g/cm3,
294,Ar294,Archer_syn,175,500,0.00001,molal,1000,g,5,molal,1.08813,g/cm3,
295,Ar295,Archer_syn,175,600,0.00001,molal,1000,g,5,molal,1.09226,g/cm3,
