id;temperature;pressure;molality_1;molality_2;code;val;other_1;other_2;other_3;other_4;error;species_1_1;species_1_2;species_1_3;species_1_4;species_2_1;species_2_2;species_2_3;species_2_4;stoic_1_1;stoic_1_2;stoic_1_3;stoic_1_4;stoic_2_1;stoic_2_2;stoic_2_3;stoic_2_4;Reference;ende
'NaCl';298.15;1;0.3;0;0;0.7078;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1324
'NaCl';298.15;1;0.35;0;0;0.699;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1325
'NaCl';298.15;1;0.4;0;0;0.6917;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1326
'NaCl';298.15;1;0.45;0;0;0.6856;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1327
'NaCl';298.15;1;0.02;0;0;0.8711;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1296
'NaCl';298.15;1;0.5;0;0;0.6805;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1328
'NaCl';298.15;1;0.55;0;0;0.6761;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1329
'NaCl';298.15;1;0.6;0;0;0.6724;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1330
'NaCl';298.15;1;0.65;0;0;0.6692;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1331
'NaCl';298.15;1;0.7;0;0;0.6664;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1332
'NaCl';298.15;1;0.75;0;0;0.6641;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1333
'NaCl';298.15;1;0.8;0;0;0.6622;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1334
'NaCl';298.15;1;0.85;0;0;0.6605;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1335
'NaCl';298.15;1;0.9;0;0;0.6592;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1336
'NaCl';298.15;1;0.95;0;0;0.6581;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1337
'NaCl';298.15;1;1;0;0;0.6572;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1338
'NaCl';298.15;1;1.1;0;0;0.6561;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1339
'NaCl';298.15;1;1.5;0;0;0.6582;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1340
'NaCl';298.15;1;1.75;0;0;0.6633;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1341
'NaCl';298.15;1;2;0;0;0.6708;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1342
'NaCl';298.15;1;2.5;0;0;0.6912;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1343
'NaCl';298.15;1;3;0;0;0.7179;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1344
'NaCl';298.15;1;3.5;0;0;0.7501;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1345
'NaCl';298.15;1;4;0;0;0.7874;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1346
'NaCl';298.15;1;4.5;0;0;0.8298;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1347
'NaCl';298.15;1;4.9;0;0;0.8674;;;;;;'Na+';'Cl-';;;0;0;;;1;1;;;;;;;Archer executable;1348
